date	index	map	search
2013-02-18	0	0	0
2013-02-19	0	0	0
2013-02-20	0	0	0
2013-02-21	0	0	0
2013-02-22	0	0	0
2013-02-23	0	0	0
2013-02-24	0	0	0
2013-02-25	0	0	0
2013-02-26	5	3	5
2013-02-27	400	200	195
2013-02-28	4320	1870	882
2013-03-01	1591	736	350
2013-03-02	2432	885	445
2013-03-03	1903	762	329
2013-03-04	2404	938	534
2013-03-05	2184	767	422
2013-03-06	2083	774	455
2013-03-07	1930	707	345
2013-03-08	1719	593	294
2013-03-09	1564	520	188
2013-03-10	1458	469	253
2013-03-11	1484	477	261
2013-03-12	1559	543	256
2013-03-13	1388	427	247
2013-03-14	1448	496	238
2013-03-15	1399	457	276
2013-03-16	1307	452	139
2013-03-17	1138	386	162
2013-03-18	2223	553	305
2013-03-19	2988	587	366
2013-03-20	2526	558	305
